Country,CountryCode,EU,Area,Npeople
Albania,AL,,28748,2930187
Andorra,AD,,468,76965
Austria,AT,EU,83858,8735453
Belarus,BY,,207600,9468338
Belgium,BE,EU,30528,11429336
Bosnia and Herzegovina,BA,,51129,3507017
Bulgaria,BG,EU,110994,7084571
Croatia,HR,EU,56594,4189353
Cyprus,CY,EU,9251,1179551
Czech Republic,CZ,EU,78866,10618303
Denmark,DK,EU,44493,5733551
Estonia,EE,EU,45339,1309632
Finland,FI,EU,338145,5523231
France,FR,EU,551394,64979548
Germany,DE,EU,357168,82114224
Greece,GR,EU,131940,11159773
Hungary,HU,EU,93030,9721559
Iceland,IS,,102775,335025
Ireland,IE,EU,70273,4761657
Italy,IT,EU,301318,59359900
Latvia,LV,EU,64589,1949670
Liechtenstein,LI,,160,37922
Lithuania,LT,EU,65300,2890297
Luxembourg,LU,EU,2428,583455
Macedonia,MK,,25713,2083160
Malta,MT,EU,316,430835
Moldova,MD,,33846,4051212
Montenegro,ME,,13812,628960
Netherlands,NL,EU,41198,17035938
Norway,NO,,385178,5305383
Poland,PL,EU,312685,38170712
Portugal,PT,EU,91568,10329506
Romania,RO,EU,238392,19679306
Russia,RU,,3972400,
Serbia,RS,,88361,8790574
Slovakia,SK,EU,49036,5447662
Slovenia,SI,EU,20273,2079976
Spain,ES,EU,498468,46354321
Sweden,SE,EU,449964,9910701
Switzerland,CH,,41290,8476005
Ukraine,UA,,603628,44222947
United Kingdom,GB,EU,244820,66181585
